순번,이름,팀명,타율,경기수,타수,안타,2루타,3루타,홈런,타점,득점,도루,볼넷,삼진,출루율,장타율
1,양의지,NC,0.354,118,390,138,26,0,20,68,61,4,48,43,0.438,0.574
2,페르난데스,두산,0.344,144,572,197,34,0,15,88,87,1,61,54,0.409,0.483
3, 박민우,NC,0.344,125,468,161,23,8,1,45,89,18,41,40,0.403,0.434
4, 이정후,키움,0.336,140,574,193,31,10,6,68,91,13,45,40,0.386,0.456
5, 강백호,KT,0.336,116,438,147,29,1,13,65,72,9,61,87,0.416,0.495
6, 고종욱,SK,0.323,137,492,159,25,7,3,56,76,31,18,89,0.347,0.421
7, 로하스,KT,0.322,142,521,168,30,3,24,104,68,4,49,120,0.381,0.53
8, 박건우,두산,0.319,127,458,146,27,5,10,64,83,12,60,57,0.397,0.465
9, 유한준,KT,0.317,139,501,159,19,1,14,86,61,3,52,61,0.383,0.443
10, 채은성,LG,0.315,128,470,148,18,1,12,72,59,2,24,67,0.358,0.434
11, 이천웅,LG,0.308,138,546,168,24,3,2,48,88,21,57,82,0.378,0.374
12, 김하성,키움,0.307,139,540,166,38,2,19,104,112,33,70,80,0.389,0.491
13, 김태균,한화,0.305,127,433,132,21,0,6,62,47,3,54,94,0.382,0.395
14, 샌즈,키움,0.305,139,525,160,39,1,28,113,100,1,77,101,0.396,0.543
15, 김현수,LG,0.304,140,526,160,37,0,11,82,75,3,54,52,0.37,0.437
16, 전준우,롯데,0.301,141,545,164,30,1,22,83,85,8,46,71,0.359,0.481
17, 서건창,키움,0.3,113,426,128,23,3,2,41,67,17,49,50,0.373,0.383
18, 최형우,KIA,0.3,136,456,137,31,1,17,86,65,0,85,77,0.413,0.485
19, 김헌곤,삼성,0.297,114,411,122,20,1,5,46,57,10,37,41,0.361,0.387
20, 손아섭,롯데,0.295,134,512,151,22,1,10,63,78,13,52,92,0.36,0.4
